Product,Cost Price,Postage,Packaging,Ebay,Paypal,Min,Act,Profit,INV Stock,Sold Stock,InStock,
Kirkland Fish oils caps,12.00,3.70,0.50,£3.08,£1.40,£20.68,£27.99,£7.31,4,1,3,
Brut Anti P,3.70,3.10,0.50,£1.32,£0.60,£9.22,11.99,£2.77,4,0,4,
BRUT Splash,3.50,3.10,0.50,£1.21,£0.55,£8.86,10.99,£2.13,4,0,4,
Kirkland Vitamin C (chew),16.33,3.10,0.50,£3.08,£1.40,£24.41,27.99,£3.58,1,1,0,
Nakd (F/N) bars,12.69,3.70,0.50,£2.64,£1.20,£20.73,23.99,£3.26,3,0,3,
Eat Natural (F/N),12.69,3.70,0.50,£2.75,£1.25,£20.89,24.99,£4.10,3,0,3,
Eat Natural (P/C),14.00,3.70,0.50,£2.53,£1.15,£21.88,22.99,£1.11,3,0,3,
Natures Heart (G.berry),12.28,3.70,0.50,£2.75,£1.25,£20.48,24.99,£4.51,n/a,0,n/a,
Forest Feast (D. Mango),12.99,3.10,0.50,£2.75,£1.25,£20.59,24.99,£4.40,n/a,0,n/a,
DJ Shitake crisps,6.39,3.10,0.50,£1.87,£0.85,£12.71,16.99,£4.28,n/a,0,n/a,
Dove soap 12x100g,9.50,3.70,0.50,£2.20,£1.00,£16.90,19.99,£3.09,n/a,0,n/a,
Ghost BCAA (Lemon Lime),20.00,3.70,0.50,£3.30,£1.50,£29.00,29.99,£0.99,7,1,6,
Ghost BCAA (Kiwi Strawberry),20.00,3.70,0.50,£3.30,£1.50,£29.00,29.99,£0.99,7,0,7,
Ghost Pre W. (sour Wmelon),25.00,3.70,0.50,£3.85,£1.75,£34.80,34.99,£0.19,5,3,2,
Ghost Pre W. (green apple),25.00,3.70,0.50,£3.85,£1.75,£34.80,34.99,£0.19,2,2,0,
Ghost Size (green Apple),22.00,3.70,0.50,£3.52,£1.60,£31.32,31.99,£0.67,9,0,9,
Ghost Size (Sour Watermelon),22.00,3.70,0.50,£3.52,£1.60,£31.32,31.99,£0.67,5,0,5,
Ghost Size (Neutral),22.00,3.70,0.50,£3.52,£1.60,£31.32,31.99,£0.67,6,0,6,
Acetum Apple Cider Vinegar,6.00,3.70,0.50,£1.54,£0.70,£12.44,13.99,£1.55,12,0,12,
Weider Collagen Peptides,13.00,3.70,0.50,£2.86,£1.30,£21.36,25.99,£4.63,12,1,11,
1Up L-Carnitine ,12.00,3.70,0.50,£2.42,£1.10,£19.72,21.99,£2.27,12,0,12,
Ghost Whey Prtn Coffee Ice,25.00,3.70,0.50,£4.07,£1.85,£35.12,36.99,£1.87,0,0,0,
Ghost Pump Stim-Free,25.00,3.70,0.50,£3.96,£1.80,£34.96,35.99,£1.03,2,0,2,
OnePlus Bullets Wireless,50.00,3.70,0.50,£10.45,£4.75,£69.40,94.99,£25.59,1,1,0,
Flash Speedmop Wet Cloths,6.00,3.70,0.50,£1.65,£0.75,£12.60,14.99,£2.39,4,0,4,
L'il Critters Calc+VitD ,10.00,3.70,0.50,£2.75,£1.25,£18.20,£24.99,£6.79,3,0,3,
Leather Bikers jacket,5.00,3.70,0.50,£2.75,£1.25,£13.20,24.99,£11.79,1,0,1,
XL T-Shirts x3,15.00,3.70,0.50,£4.40,£2.00,£25.60,39.99,£14.39,1,0,1,
Blue Sleeveless Otomix,5.00,3.70,0.50,£1.65,£0.75,£11.60,14.99,£3.39,1,0,1,
Grey Short-Sleeved Otomix,5.00,3.70,0.50,£1.65,£0.75,£11.60,14.99,£3.39,1,0,1,
L Otomix T-Shirts x3 L,15.00,3.70,0.50,£4.40,£2.00,£25.60,39.99,£14.39,1,0,1,
L Otomix T-Shirts x3 M,15.00,3.70,0.50,£4.40,£2.00,£25.60,39.99,£14.39,1,0,1,
Mixed T-Shirts x3 M,15.00,3.70,0.50,£4.40,£2.00,£25.60,39.99,£14.39,1,0,1,
Otomix Trousers x2,10.00,3.70,0.50,£3.30,£1.50,£19.00,29.99,£10.99,1,0,1,
Mixed Men's Casual Tee M,10.00,3.70,0.50,£3.30,£1.50,£19.00,29.99,£10.99,1,0,1,
Mixed Men's Casual Tee M,10.00,3.70,0.50,£3.30,£1.50,£19.00,29.99,£10.99,1,0,1,
Men's Gymwear Shirts L,10.00,3.70,0.50,£2.20,£1.00,£17.40,19.99,£2.59,1,0,1,
Men's Gymwear Shirts L,10.00,3.70,0.50,£2.20,£1.00,£17.40,19.99,£2.59,1,0,1,
AST sweatshirt XL Red,10.00,3.70,0.50,£3.30,£1.50,£19.00,29.99,£10.99,1,0,1
